Company,Sentiment Score
Apple Inc.,0.155997
Accenture plc,0.196689
Adobe Inc.,0.243825
"Autodesk, Inc.",0.171863768
"C3.ai, Inc.",0.256557143
"Applied Materials, Inc.",0.206154
"Advanced Micro Devices, Inc.",0.248149
"Amazon.com, Inc.",0.275915
"Arista Networks, Inc.",0.219343182
"ANSYS, Inc.",0.337567568
ASML Holding N.V.,0.298832258
"Aurora Innovation, Inc.",0.270898438
Broadcom Inc.,0.303245
The Boeing Company,0.175497
Alibaba Group Holding Limited,0.218688506
"BigBear.ai Holdings, Inc.",0.16335
"Baidu, Inc.",0.291879775
"Cadence Design Systems, Inc.",0.324365333
"Coursera, Inc.",0.288711538
"Salesforce, Inc.",0.330526
Cerence Inc.,0.400833333
"CrowdStrike Holdings, Inc.",0.1930425
Deere & Company,0.233801
"Dynatrace, Inc.",0.37885
"Duos Technologies Group, Inc.",0.52702
"Enphase Energy, Inc.",0.262331034
Alphabet Inc.,0.233651515
"Helix Energy Solutions Group, Inc.",0.34865
International Business Machines Corporation,0.296963
